,sentences,meteor,bleu-4,bleu-1,bleu-2,bleu-3
0,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be Audiosignal......,0.9709900887340673,0.980527794452699,0.994570710619304,0.9890645132073708,0.9867943767943768
1,Yes AudioFeature which a shap value of 0.1457 was used to detect the sample as Audiosignal......,0.7120418778939461,0.7472758236749731,0.9424836601307188,0.8378529885782356,0.7863120012517603
2,Yes there were 2 microphones......,0.3236720142602495,0.4273028442016698,0.6489060930721878,0.4830041445579578,0.38958149130562925
3,Yes AudioFeature which a shap value of -0.164 was used to detect the id of speaker 6 for the audio sample......,0.49459776468770844,0.5379115668929082,0.8759553878956863,0.7737820190858866,0.6750427350427352
4,No the Audiosignal was detected by CNN recording was not converted.....,0.8704647628763181,0.8790938296720731,0.9797552836484984,0.9485188380788034,0.9195238095238096
5,There are inconsistencies......,0.0,1.3332155543569415e-78,0.39466543193419545,0.16725066600066602,0.02126642771804062
6,Yes AudioFeature which a shap value of 0.4155 was used to detect the id of speaker 3 for the audio sample......,0.5441927643608403,0.5352784160022892,0.9752500928614845,0.899139393432633,0.8032549815775623
7,the audio sample had Entity features extracted and AudioFeature was determined to have a large impact on the FeedforwardNeuralNetwork Abstract that determined the sample to be PhysicalAccess......,0.8981126177208687,0.9005808648261413,0.9805996392485812,0.943356870669972,0.9203545492081998
8,There is an echo.....,0.11585365853658536,0.09253536234961961,0.36893091664433125,0.18317562724014338,0.08417026793431288
9,Yes. There is evidence of sampling......,0.5438195229127434,0.6803434641033377,0.916656346749226,0.7873737373737374,0.7003196930946292
10,Interpreters is used for identifying the important features in classifing the audio......,0.15381589299763967,0.32380121684311836,0.7093424968081373,0.36581406149784435,0.267631502592382
11,The audio has several CaptureDevice signatures......,0.015625,0.27232787964894534,0.770515300777115,0.4546812386156648,0.25074409250879837
12,Interpreters determined that ConstantQFeature AudioFeature LFCC MFCC-5 had the highest impact on classification......,0.4394051809006906,0.5958363766730631,0.9285649286768323,0.7291878035188282,0.5983367983367984
13,Yes person 2 was detected by AudioFeature with a shap value of -0.9142......,0.8398124624228845,0.828330624758473,0.9136081193040596,0.89419628625251,0.8703703014802759
14,Yes person 2 was detected by AudioFeature with a shap value of -0.2913......,0.7599394985948813,0.775751194017356,0.8421945701357465,0.7997101869294305,0.754367201426025
15,Everything points to this audio sample being Audiosignal......,0.23164607383357386,0.27262631441940915,0.778613307424283,0.4558853046594982,0.3586905790838375
